Date,Open,High,Low,Close,Adj Close,Volume
06-10-2021,3213.530029,3264.340088,3198.620117,3262.01001,3262.01001,2533000
07-10-2021,3291.540039,3325.75,3283.060059,3302.429932,3302.429932,2409100
08-10-2021,3317,3321.429932,3288.199951,3288.620117,3288.620117,1995500
11-10-2021,3275,3292.590088,3238.100098,3246.300049,3246.300049,2034200
12-10-2021,3257,3267.530029,3236.280029,3247.330078,3247.330078,1819600
13-10-2021,3269.709961,3288.379883,3261.090088,3284.280029,3284.280029,2420100
14-10-2021,3302.449951,3312.600098,3290.780029,3299.860107,3299.860107,2109500
15-10-2021,3311.419922,3410.419922,3304,3409.02002,3409.02002,5175100
18-10-2021,3388.360107,3449.169922,3385.100098,3446.73999,3446.73999,3174100
19-10-2021,3434.290039,3454.689941,3422,3444.149902,3444.149902,2386100
20-10-2021,3452.659912,3462.860107,3400.370117,3415.060059,3415.060059,2139800
21-10-2021,3414.25,3440.280029,3403,3435.01001,3435.01001,1881400
22-10-2021,3421,3429.840088,3331.300049,3335.550049,3335.550049,3139100
25-10-2021,3335,3347.800049,3297.699951,3320.370117,3320.370117,2226000
26-10-2021,3349.51001,3416.120117,3343.97998,3376.070068,3376.070068,2698300
27-10-2021,3388,3437,3371.449951,3392.48999,3392.48999,2702200
28-10-2021,3402.100098,3479,3386,3446.570068,3446.570068,5708700
29-10-2021,3300.02002,3374.820068,3273.320068,3372.429932,3372.429932,6469500
01-11-2021,3361.800049,3375.860107,3292.02002,3318.110107,3318.110107,3608900
02-11-2021,3315.01001,3331.120117,3283.550049,3312.75,3312.75,2627600
03-11-2021,3309,3394.919922,3297.52002,3384,3384,3397200
04-11-2021,3370,3498.629883,3365,3477,3477,5353000
05-11-2021,3477,3566.25,3476.97998,3518.98999,3518.98999,4993500
08-11-2021,3523.23999,3579,3487.860107,3488.97998,3488.97998,3074000
09-11-2021,3515.25,3593.77002,3501.429932,3576.22998,3576.22998,4294900
10-11-2021,3563.870117,3605.449951,3463.090088,3482.050049,3482.050049,4027400
11-11-2021,3513,3543.23999,3467.469971,3472.5,3472.5,2264400
12-11-2021,3485,3540.72998,3447.050049,3525.149902,3525.149902,2688500
